number;title
1;Власти Томской области увеличили прожиточный минимум на 6,8%
2;Дефицит бюджета Томской области превысил 10 млрд руб. Это рекорд
3;Почти четверть работающих жителей Томской области получает менее 45 тыс руб в месяц — исследование
4;Государство обложит электронику технологическим сбором — деньги пойдут в промышленность
5;ЦБ: овощи подешевели, а яйца снова начали дорожать в Томской области
6;Цены на говядину в Томске остаются самыми высокими в Сибири
7;Более 63 млн руб направит Томск на индексацию зарплат бюджетникам
8;Ретейлеры предупредили о проблемах с продуктами в случае фиксации цен — СМИ
9;Ставка налога изменится для дорогостоящих земельных участков в Томске
10;«Табло по нулям — значит, бензина нет»: что происходит с топливом на заправках Томска?
11;«Тяжелее всего придется пенсионерам и малоимущим семьям». Как повышение НДС отразится на обычных людях?
12;Между стагнацией и спадом: промышленное производство в Томской области не может выйти в плюс
13;ЦБ снизил ключевую ставку на 0,5%
14;«Налог на налог, это сюр какой-то»: пищевую промышленность хотят обложить новым сбором
15;Томская область получит от Федерации 32 млрд руб
16;ФАС одобрила покупку сетей Spar и F City в Томской области
17;Бизнес против, перевозчики — «за»: в России предложили ввести потолок цен на заправках
18;Овощи дешевеют, отдых дорожает: как изменились цены в Томской области
19;Проект бюджета Томской области на три года внесли в думу
20;Томская область вошла в топ-10 регионов по приросту зарплатных предложений за год
21;Траты на оборону в 2026г превысят расходы на медицину, образование и соцполитику — проект бюджета РФ
22;В России повысят МРОТ на 20%
23;НДС в России поднимут до 22%. Его начнут платить больше компаний, чем сейчас
24;«КДВ Групп» предупредил о росте цен на свою продукцию из-за удорожания сырья
25;Экспорт кедрового ореха из Томской области вырос на треть
26;Минцифры обсуждает создание аналога «Пушкинской карты» для покупки книг
27;СМИ: власти РФ рассматривают возможность повысить НДС, чтобы сократить дефицит бюджета
28;Депутаты Госдумы хотят ввести налог на сверхприбыль банков. Это принесет бюджету 200 млрд руб
29;Бензин в Томской области продолжает дорожать. Регионы РФ сталкиваются с нехваткой топлива
30;Ретейлеры урезают ассортимент: на полках остаются только самые ходовые товары
31;Банк России третий раз подряд снизил ключевую ставку
32;Огурцы резко подорожали для томичей в августе
33;Вклады в России теряют доходность: зачем банки снижают ставки
34;Машинист и разнорабочий: эксперты назвали самые востребованные профессии в Томске
35;Завод по производству санфаянса появится в томской ОЭЗ
36;Экономика РФ охлаждается быстрее, чем ожидалось — Минэкономразвития
37;Лимиты в банкоматах, «вторая рука» и период охлаждения: что изменится в сфере финансов для россиян с 1 сентября
38;Картофель в Томской области подешевел впервые за 10 месяцев
39;Томская область попробует списать долги по расходам на СВО
40;Стоимость колбасы в Томске оказалась самой низкой в Сибири
41;Первый — сам, второй — с поддержкой: маткапитал в России предложили перераспределить
42;Влетело в копеечку: собрать ребенка в школу стоит более 50 тыс руб
43;Производители сладостей в России поднимают цены. В чем причина повышения?
44;Спрос на аренду студий в Томске вырос почти на 50% — исследование
45;Как изменилась стоимость бензина в Томской области за полгода?
46;Спрос на «вторичку» в Томске вырос на треть после снижения ключевой ставки — исследование
47;Стоимость бескостной говядины в Томской области превысила 1000 руб/кг. И это не предел
48;Услуги ЖКХ сильнее всего подорожали в Томской области в июле
49;Аренда однокомнатных квартир в Томске выросла почти на 6%
50;Экспорт мороженого из Томской области в Азию вырос в 2 раза
51;Мэрия Томска возьмет кредиты на 2,6 млрд руб
