text;processed;tokenized;lemmatized
Власти Томской области увеличили прожиточный минимум на 6,8%;власти томской области увеличили прожиточный минимум на 6 8;['власти', 'томской', 'области', 'увеличили', 'прожиточный', 'минимум', 'на', '6', '8'];['власть', 'томский', 'область', 'увеличить', 'прожиточный', 'минимум', 'на', '6', '8']
Дефицит бюджета Томской области превысил 10 млрд руб. Это рекорд;дефицит бюджета томской области превысил 10 млрд руб это рекорд;['дефицит', 'бюджета', 'томской', 'области', 'превысил', '10', 'млрд', 'руб', 'это', 'рекорд'];['дефицит', 'бюджет', 'томский', 'область', 'превысить', '10', 'млрд', 'руб', 'это', 'рекорд']
Почти четверть работающих жителей Томской области получает менее 45 тыс руб в месяц — исследование;почти четверть работающих жителей томской области получает менее 45 тыс руб в месяц исследование;['почти', 'четверть', 'работающих', 'жителей', 'томской', 'области', 'получает', 'менее', '45', 'тыс', 'руб', 'в', 'месяц', 'исследование'];['почти', 'четверть', 'работать', 'житель', 'томский', 'область', 'получать', 'менее', '45', 'тыс', 'руб', 'в', 'месяц', 'исследование']
Государство обложит электронику технологическим сбором — деньги пойдут в промышленность;государство обложит электронику технологическим сбором деньги пойдут в промышленность;['государство', 'обложит', 'электронику', 'технологическим', 'сбором', 'деньги', 'пойдут', 'в', 'промышленность'];['государство', 'обложить', 'электроника', 'технологический', 'сбор', 'деньга', 'пойти', 'в', 'промышленность']
ЦБ: овощи подешевели, а яйца снова начали дорожать в Томской области;цб овощи подешевели а яйца снова начали дорожать в томской области;['цб', 'овощи', 'подешевели', 'а', 'яйца', 'снова', 'начали', 'дорожать', 'в', 'томской', 'области'];['цб', 'овощ', 'подешеветь', 'а', 'яйцо', 'снова', 'начать', 'дорожать', 'в', 'томский', 'область']
Цены на говядину в Томске остаются самыми высокими в Сибири;цены на говядину в томске остаются самыми высокими в сибири;['цены', 'на', 'говядину', 'в', 'томске', 'остаются', 'самыми', 'высокими', 'в', 'сибири'];['цена', 'на', 'говядина', 'в', 'томск', 'оставаться', 'самыми', 'высокий', 'в', 'сибирь']
Более 63 млн руб направит Томск на индексацию зарплат бюджетникам;более 63 млн руб направит томск на индексацию зарплат бюджетникам;['более', '63', 'млн', 'руб', 'направит', 'томск', 'на', 'индексацию', 'зарплат', 'бюджетникам'];['более', '63', 'млн', 'руб', 'направить', 'томск', 'на', 'индексация', 'зарплата', 'бюджетник']
Ретейлеры предупредили о проблемах с продуктами в случае фиксации цен — СМИ;ретейлеры предупредили о проблемах с продуктами в случае фиксации цен сми;['ретейлеры', 'предупредили', 'о', 'проблемах', 'с', 'продуктами', 'в', 'случае', 'фиксации', 'цен', 'сми'];['ретейлер', 'предупредить', 'о', 'проблема', 'с', 'продукт', 'в', 'случай', 'фиксация', 'цена', 'сми']
Ставка налога изменится для дорогостоящих земельных участков в Томске;ставка налога изменится для дорогостоящих земельных участков в томске;['ставка', 'налога', 'изменится', 'для', 'дорогостоящих', 'земельных', 'участков', 'в', 'томске'];['ставка', 'налог', 'измениться', 'для', 'дорогостоящий', 'земельный', 'участок', 'в', 'томск']
«Табло по нулям — значит, бензина нет»: что происходит с топливом на заправках Томска?;табло по нулям значит бензина нет что происходит с топливом на заправках томска;['табло', 'по', 'нулям', 'значит', 'бензина', 'нет', 'что', 'происходит', 'с', 'топливом', 'на', 'заправках', 'томска'];['табло', 'по', 'нуль', 'значить', 'бензина', 'нет', 'что', 'происходить', 'с', 'топливо', 'на', 'заправка', 'томск']
«Тяжелее всего придется пенсионерам и малоимущим семьям». Как повышение НДС отразится на обычных людях?;тяжелее всего придется пенсионерам и малоимущим семьям как повышение ндс отразится на обычных людях;['тяжелее', 'всего', 'придется', 'пенсионерам', 'и', 'малоимущим', 'семьям', 'как', 'повышение', 'ндс', 'отразится', 'на', 'обычных', 'людях'];['тяжёлый', 'всего', 'прийтись', 'пенсионер', 'и', 'малоимущий', 'семья', 'как', 'повышение', 'ндс', 'отразиться', 'на', 'обычный', 'человек']
Между стагнацией и спадом: промышленное производство в Томской области не может выйти в плюс;между стагнацией и спадом промышленное производство в томской области не может выйти в плюс;['между', 'стагнацией', 'и', 'спадом', 'промышленное', 'производство', 'в', 'томской', 'области', 'не', 'может', 'выйти', 'в', 'плюс'];['между', 'стагнация', 'и', 'спад', 'промышленный', 'производство', 'в', 'томский', 'область', 'не', 'мочь', 'выйти', 'в', 'плюс']
ЦБ снизил ключевую ставку на 0,5%;цб снизил ключевую ставку на 0 5;['цб', 'снизил', 'ключевую', 'ставку', 'на', '0', '5'];['цб', 'снизить', 'ключевой', 'ставка', 'на', '0', '5']
«Налог на налог, это сюр какой-то»: пищевую промышленность хотят обложить новым сбором;налог на налог это сюр какой то пищевую промышленность хотят обложить новым сбором;['налог', 'на', 'налог', 'это', 'сюр', 'какой', 'то', 'пищевую', 'промышленность', 'хотят', 'обложить', 'новым', 'сбором'];['налог', 'на', 'налог', 'это', 'сюр', 'какой', 'то', 'пищевой', 'промышленность', 'хотеть', 'обложить', 'новый', 'сбор']
Томская область получит от Федерации 32 млрд руб;томская область получит от федерации 32 млрд руб;['томская', 'область', 'получит', 'от', 'федерации', '32', 'млрд', 'руб'];['томский', 'область', 'получить', 'от', 'федерация', '32', 'млрд', 'руб']
ФАС одобрила покупку сетей Spar и F City в Томской области;фас одобрила покупку сетей и в томской области;['фас', 'одобрила', 'покупку', 'сетей', 'и', 'в', 'томской', 'области'];['фас', 'одобрить', 'покупка', 'сеть', 'и', 'в', 'томский', 'область']
Бизнес против, перевозчики — «за»: в России предложили ввести потолок цен на заправках;бизнес против перевозчики за в россии предложили ввести потолок цен на заправках;['бизнес', 'против', 'перевозчики', 'за', 'в', 'россии', 'предложили', 'ввести', 'потолок', 'цен', 'на', 'заправках'];['бизнес', 'против', 'перевозчик', 'за', 'в', 'россия', 'предложить', 'ввести', 'потолок', 'цена', 'на', 'заправка']
Овощи дешевеют, отдых дорожает: как изменились цены в Томской области;овощи дешевеют отдых дорожает как изменились цены в томской области;['овощи', 'дешевеют', 'отдых', 'дорожает', 'как', 'изменились', 'цены', 'в', 'томской', 'области'];['овощ', 'дешеветь', 'отдых', 'дорожать', 'как', 'измениться', 'цена', 'в', 'томский', 'область']
Проект бюджета Томской области на три года внесли в думу;проект бюджета томской области на три года внесли в думу;['проект', 'бюджета', 'томской', 'области', 'на', 'три', 'года', 'внесли', 'в', 'думу'];['проект', 'бюджет', 'томский', 'область', 'на', 'три', 'год', 'внести', 'в', 'дума']
Томская область вошла в топ-10 регионов по приросту зарплатных предложений за год;томская область вошла в топ 10 регионов по приросту зарплатных предложений за год;['томская', 'область', 'вошла', 'в', 'топ', '10', 'регионов', 'по', 'приросту', 'зарплатных', 'предложений', 'за', 'год'];['томский', 'область', 'войти', 'в', 'топ', '10', 'регион', 'по', 'прирост', 'зарплатный', 'предложение', 'за', 'год']
Траты на оборону в 2026г превысят расходы на медицину, образование и соцполитику — проект бюджета РФ;траты на оборону в 2026г превысят расходы на медицину образование и соцполитику проект бюджета рф;['траты', 'на', 'оборону', 'в', '2026', 'г', 'превысят', 'расходы', 'на', 'медицину', 'образование', 'и', 'соцполитику', 'проект', 'бюджета', 'рф'];['трата', 'на', 'оборона', 'в', '2026', 'г', 'превысить', 'расход', 'на', 'медицина', 'образование', 'и', 'соцполитику', 'проект', 'бюджет', 'рф']
В России повысят МРОТ на 20%;в россии повысят мрот на 20;['в', 'россии', 'повысят', 'мрот', 'на', '20'];['в', 'россия', 'повысить', 'мрот', 'на', '20']
НДС в России поднимут до 22%. Его начнут платить больше компаний, чем сейчас;ндс в россии поднимут до 22 его начнут платить больше компаний чем сейчас;['ндс', 'в', 'россии', 'поднимут', 'до', '22', 'его', 'начнут', 'платить', 'больше', 'компаний', 'чем', 'сейчас'];['ндс', 'в', 'россия', 'поднять', 'до', '22', 'его', 'начать', 'платить', 'больше', 'компания', 'чем', 'сейчас']
«КДВ Групп» предупредил о росте цен на свою продукцию из-за удорожания сырья;кдв групп предупредил о росте цен на свою продукцию из за удорожания сырья;['кдв', 'групп', 'предупредил', 'о', 'росте', 'цен', 'на', 'свою', 'продукцию', 'из', 'за', 'удорожания', 'сырья'];['кдв', 'группа', 'предупредить', 'о', 'рост', 'цена', 'на', 'свой', 'продукция', 'из', 'за', 'удорожание', 'сырьё']
Экспорт кедрового ореха из Томской области вырос на треть;экспорт кедрового ореха из томской области вырос на треть;['экспорт', 'кедрового', 'ореха', 'из', 'томской', 'области', 'вырос', 'на', 'треть'];['экспорт', 'кедровый', 'орех', 'из', 'томский', 'область', 'вырасти', 'на', 'треть']
Минцифры обсуждает создание аналога «Пушкинской карты» для покупки книг;минцифры обсуждает создание аналога пушкинской карты для покупки книг;['минцифры', 'обсуждает', 'создание', 'аналога', 'пушкинской', 'карты', 'для', 'покупки', 'книг'];['минцифры', 'обсуждать', 'создание', 'аналог', 'пушкинский', 'карта', 'для', 'покупка', 'книга']
СМИ: власти РФ рассматривают возможность повысить НДС, чтобы сократить дефицит бюджета;сми власти рф рассматривают возможность повысить ндс чтобы сократить дефицит бюджета;['сми', 'власти', 'рф', 'рассматривают', 'возможность', 'повысить', 'ндс', 'чтобы', 'сократить', 'дефицит', 'бюджета'];['сми', 'власть', 'рф', 'рассматривать', 'возможность', 'повысить', 'ндс', 'чтобы', 'сократить', 'дефицит', 'бюджет']
